wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.3765701294e+02	9.8248474756e-01	8.6421906948e-01	8.5035926104e-01
4.3807672119e+02	9.8235546032e-01	8.6058455706e-01	8.5115063190e-01
4.3849642944e+02	9.8222474499e-01	8.6150872707e-01	8.5263085365e-01
4.3891613770e+02	9.8209258059e-01	8.6454325914e-01	8.5513025522e-01
4.3933584595e+02	9.8195894577e-01	8.6533701420e-01	8.5544532537e-01
4.3975555420e+02	9.8182381875e-01	8.6645400524e-01	8.5735619068e-01
4.4017526245e+02	9.8168717740e-01	8.6439406872e-01	8.5856044292e-01
4.4059497070e+02	9.8154899914e-01	8.6904209852e-01	8.5956436396e-01
4.4101467896e+02	9.8140926098e-01	8.6868184805e-01	8.6044842005e-01
4.4143438721e+02	9.8126793951e-01	8.6927598715e-01	8.6237668991e-01
4.4185412598e+02	9.8112500042e-01	8.6959654093e-01	8.6375862360e-01
4.4227383423e+02	9.8098044020e-01	8.7177842855e-01	8.6445212364e-01
4.4269354248e+02	9.8083422376e-01	8.7135881186e-01	8.6711955070e-01
4.4311325073e+02	9.8068632586e-01	8.7324929237e-01	8.6834412813e-01
4.4353295898e+02	9.8053672081e-01	8.7399142981e-01	8.6948943138e-01
4.4395266724e+02	9.8038538240e-01	8.7534874678e-01	8.7163460255e-01
4.4437237549e+02	9.8023228395e-01	8.7883311510e-01	8.7306547165e-01
4.4479208374e+02	9.8007739823e-01	8.7676328421e-01	8.7430858612e-01
4.4521179199e+02	9.7992069753e-01	8.7771201134e-01	8.7576878071e-01
4.4563150024e+02	9.7976215357e-01	8.7964075804e-01	8.7615877390e-01
4.4605120850e+02	9.7960173753e-01	8.8004928827e-01	8.7822955847e-01
4.4647091675e+02	9.7943942004e-01	8.7375152111e-01	8.8034254313e-01
4.4689062500e+02	9.7927517115e-01	8.7807112932e-01	8.8191020489e-01
4.4731033325e+02	9.7910896031e-01	8.8334405422e-01	8.8295251131e-01
4.4773004150e+02	9.7894075638e-01	8.8349533081e-01	8.8350290060e-01
4.4814974976e+02	9.7877052761e-01	8.8425362110e-01	8.8372355700e-01
4.4856945801e+02	9.7859824161e-01	8.8515222073e-01	8.8396942616e-01
4.4898916626e+02	9.7842386534e-01	8.8694649935e-01	8.8523638248e-01
4.4940887451e+02	9.7824736512e-01	8.8685798645e-01	8.8598901033e-01
4.4982858276e+02	9.7806870658e-01	8.8760530949e-01	8.8624262810e-01
4.5024829102e+02	9.7788785465e-01	8.9076316357e-01	8.8652378321e-01
4.5066799927e+02	9.7770477356e-01	8.8941818476e-01	8.8775986433e-01
4.5108770752e+02	9.7751942682e-01	8.9056569338e-01	8.8829815388e-01
4.5150741577e+02	9.7733177719e-01	8.9255201817e-01	8.8812124729e-01
4.5192712402e+02	9.7714178666e-01	8.9385837317e-01	8.8917022943e-01
4.5234683228e+02	9.7694941645e-01	8.9354389906e-01	8.8863050938e-01
4.5276657104e+02	9.7675461273e-01	8.9368802309e-01	8.8979798555e-01
4.5318627930e+02	9.7655736342e-01	8.9454048872e-01	8.9007979631e-01
4.5360598755e+02	9.7635761320e-01	8.9502429962e-01	8.8961333036e-01
4.5402569580e+02	9.7615531996e-01	8.9624685049e-01	8.9084404707e-01
4.5444540405e+02	9.7595044074e-01	8.9734083414e-01	8.9000052214e-01
4.5486511230e+02	9.7574293163e-01	8.9738923311e-01	8.9117544889e-01
4.5528482056e+02	9.7553274782e-01	8.9984208345e-01	8.9122575521e-01
4.5570452881e+02	9.7531984355e-01	8.9834356308e-01	8.9194697142e-01
4.5612423706e+02	9.7510417208e-01	8.9819860458e-01	8.9127725363e-01
4.5654394531e+02	9.7488568566e-01	9.0002381802e-01	8.9290553331e-01
4.5696365356e+02	9.7466433555e-01	8.9787882566e-01	8.9252775908e-01
4.5738336182e+02	9.7444007191e-01	8.9980292320e-01	8.9196586609e-01
4.5780307007e+02	9.7421284388e-01	9.0108466148e-01	8.9252561331e-01
4.5822277832e+02	9.7398259944e-01	9.0059798956e-01	8.9262694120e-01
4.5864248657e+02	9.7374928546e-01	9.0113353729e-01	8.9347469807e-01
4.5906219482e+02	9.7351284767e-01	9.0089118481e-01	8.9374297857e-01
4.5948190308e+02	9.7327323056e-01	9.0608662367e-01	8.9350068569e-01
4.5990161133e+02	9.7303037742e-01	9.0074920654e-01	8.9231073856e-01
4.6032131958e+02	9.7278423029e-01	9.0032470226e-01	8.9277112484e-01
4.6074102783e+02	9.7253472991e-01	9.0104186535e-01	8.9196538925e-01
