wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
5.1068645912e+02	9.3639999628e-01	7.9013335705e-01	8.7165987492e-01
5.1110616856e+02	9.3603426218e-01	7.8992331028e-01	8.7050485611e-01
5.1152587800e+02	9.3565779924e-01	7.8885459900e-01	8.7078410387e-01
5.1194558744e+02	9.3527042866e-01	7.8815442324e-01	8.7063765526e-01
5.1236529689e+02	9.3487203121e-01	7.8764259815e-01	8.6982202530e-01
5.1278500633e+02	9.3446236849e-01	7.8709536791e-01	8.6942690611e-01
5.1320471577e+02	9.3404120207e-01	7.8617948294e-01	8.6939609051e-01
5.1362442521e+02	9.3360847235e-01	7.8628110886e-01	8.6866199970e-01
5.1404413465e+02	9.3316382170e-01	7.8589487076e-01	8.6811298132e-01
5.1446384409e+02	9.3270707130e-01	7.8546303511e-01	8.6775803566e-01
5.1488355353e+02	9.3223798275e-01	7.8513979912e-01	8.6749875546e-01
5.1530326297e+02	9.3175643682e-01	7.8470200300e-01	8.6666440964e-01
5.1572297242e+02	9.3126201630e-01	7.8471159935e-01	8.6582821608e-01
5.1614268186e+02	9.3075460196e-01	7.8441709280e-01	8.6629194021e-01
5.1656239130e+02	9.3023383617e-01	7.8435534239e-01	8.6480325460e-01
5.1698210074e+02	9.2969954014e-01	7.8426122665e-01	8.6423832178e-01
5.1740181018e+02	9.2915141582e-01	7.8370565176e-01	8.6382234097e-01
5.1782151962e+02	9.2858910561e-01	7.8423321247e-01	8.6277848482e-01
5.1824122906e+02	9.2801243067e-01	7.8386950493e-01	8.6223530769e-01
5.1866093850e+02	9.2742097378e-01	7.8410649300e-01	8.6143201590e-01
5.1908064795e+02	9.2681449652e-01	7.8416019678e-01	8.6081308126e-01
5.1950035739e+02	9.2619270086e-01	7.8309065104e-01	8.6060398817e-01
5.1992006683e+02	9.2555510998e-01	7.8337872028e-01	8.6098945141e-01
5.2033977627e+02	9.2490148544e-01	7.8114455938e-01	8.6052680016e-01
5.2075948571e+02	9.2423146963e-01	7.8122287989e-01	8.6037969589e-01
5.2117919515e+02	9.2354464531e-01	7.8066676855e-01	8.5938102007e-01
5.2159890459e+02	9.2284065485e-01	7.8203594685e-01	8.5931313038e-01
5.2201861403e+02	9.2211908102e-01	7.8212958574e-01	8.5797363520e-01
5.2243832347e+02	9.2137950659e-01	7.8032070398e-01	8.5670632124e-01
5.2285803292e+02	9.2062151432e-01	7.7992939949e-01	8.5493606329e-01
5.2327774236e+02	9.1984474659e-01	7.7947312593e-01	8.5441523790e-01
5.2369745180e+02	9.1904860735e-01	7.7962422371e-01	8.5251146555e-01
5.2411716124e+02	9.1823267937e-01	7.7869451046e-01	8.5010063648e-01
