wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
5.0481052694e+02	9.4532084465e-01	8.6744439602e-01
5.0523023639e+02	9.4561201334e-01	8.6687302589e-01
5.0564994583e+02	9.4589543343e-01	8.6506694555e-01
5.0606965527e+02	9.4617122412e-01	8.6284637451e-01
5.0648936471e+02	9.4643944502e-01	8.6569386721e-01
5.0690907415e+02	9.4670027494e-01	8.6256742477e-01
5.0732878359e+02	9.4695377350e-01	8.6146050692e-01
5.0774849303e+02	9.4720011950e-01	8.6231070757e-01
5.0816820247e+02	9.4743931293e-01	8.6221623421e-01
5.0858791192e+02	9.4767147303e-01	8.6218231916e-01
5.0900762136e+02	9.4789665937e-01	8.6255598068e-01
5.0942733080e+02	9.4811505079e-01	8.6221861839e-01
5.0984704024e+02	9.4832670689e-01	8.6208075285e-01
5.1026674968e+02	9.4853162766e-01	8.6192458868e-01
5.1068645912e+02	9.4872999191e-01	8.6243140697e-01
5.1110616856e+02	9.4892185926e-01	8.6206501722e-01
5.1152587800e+02	9.4910722971e-01	8.6100208759e-01
5.1194558744e+02	9.4928622246e-01	8.6077940464e-01
5.1236529689e+02	9.4945889711e-01	8.6026030779e-01
5.1278500633e+02	9.4962537289e-01	8.5938179493e-01
5.1320471577e+02	9.4978559017e-01	8.5891300440e-01
5.1362442521e+02	9.4993972778e-01	8.5837948322e-01
5.1404413465e+02	9.5008778572e-01	8.5735088587e-01
5.1446384409e+02	9.5022988319e-01	8.5677045584e-01
5.1488355353e+02	9.5036596060e-01	8.5580241680e-01
5.1530326297e+02	9.5049613714e-01	8.5512238741e-01
5.1572297242e+02	9.5062047243e-01	8.5469084978e-01
5.1614268186e+02	9.5073902607e-01	8.5452777147e-01
5.1656239130e+02	9.5085173845e-01	8.5380822420e-01
5.1698210074e+02	9.5095878839e-01	8.5285264254e-01
5.1740181018e+02	9.5106011629e-01	8.5227769613e-01
5.1782151962e+02	9.5115578175e-01	8.5189217329e-01
5.1824122906e+02	9.5124584436e-01	8.5033154488e-01
5.1866093850e+02	9.5133030415e-01	8.5200107098e-01
5.1908064795e+02	9.5140922070e-01	8.4896516800e-01
5.1950035739e+02	9.5148259401e-01	8.4889012575e-01
5.1992006683e+02	9.5155048370e-01	8.5016500950e-01
5.2033977627e+02	9.5161288977e-01	8.4818452597e-01
5.2075948571e+02	9.5166987181e-01	8.4881848097e-01
5.2117919515e+02	9.5172137022e-01	8.5078573227e-01
5.2159890459e+02	9.5176750422e-01	8.4953278303e-01
5.2201861403e+02	9.5180821419e-01	8.4442657232e-01
5.2243832347e+02	9.5184355974e-01	8.4674286842e-01
5.2285803292e+02	9.5187348127e-01	8.4620004892e-01
5.2327774236e+02	9.5189809799e-01	8.4596419334e-01
5.2369745180e+02	9.5191735029e-01	8.4552103281e-01
5.2411716124e+02	9.5193123817e-01	8.4356486797e-01
5.2453687068e+02	9.5193976164e-01	8.4238934517e-01
5.2495658012e+02	9.5194298029e-01	8.4243798256e-01
5.2537628956e+02	9.5194089413e-01	8.4138864279e-01
5.2579599900e+02	9.5193344355e-01	8.4049689770e-01
5.2621570845e+02	9.5192062855e-01	8.3922803402e-01
5.2663541789e+02	9.5190250874e-01	8.3850091696e-01
5.2705512733e+02	9.5187902451e-01	8.3735340834e-01
5.2747483677e+02	9.5185017586e-01	8.3603900671e-01
5.2789454621e+02	9.5181596279e-01	8.3603686094e-01
5.2831425565e+02	9.5177638531e-01	8.3565604687e-01
5.2873396509e+02	9.5173138380e-01	8.3352589607e-01
5.2915367453e+02	9.5168095827e-01	8.3190286160e-01
5.2957338398e+02	9.5162516832e-01	8.3090323210e-01
5.2999309342e+02	9.5156383514e-01	8.2956135273e-01
5.3041280286e+02	9.5149713755e-01	8.2935792208e-01
5.3083251230e+02	9.5142483711e-01	8.2830005884e-01
5.3125222174e+02	9.5134711266e-01	8.2742935419e-01
5.3167193118e+02	9.5126378536e-01	8.2617813349e-01
5.3209164062e+02	9.5117485523e-01	8.2607692480e-01
5.3251135006e+02	9.5108038187e-01	8.2469296455e-01
5.3293105950e+02	9.5098024607e-01	8.2176113129e-01
5.3335076895e+02	9.5087438822e-01	8.2292306423e-01
5.3377047839e+02	9.5076280832e-01	8.2421946526e-01
5.3419018783e+02	9.5064550638e-01	8.2034665346e-01
5.3460989727e+02	9.5052236319e-01	8.1732374430e-01
5.3502960671e+02	9.5039337873e-01	8.1566196680e-01
5.3544931615e+02	9.5025849342e-01	8.1521743536e-01
5.3586902559e+02	9.5011770725e-01	8.1676238775e-01
5.3628873503e+02	9.4997090101e-01	8.1451159716e-01
5.3670844448e+02	9.4981801510e-01	8.1283873320e-01
5.3712815392e+02	9.4965898991e-01	8.1290417910e-01
5.3754786336e+02	9.4949382544e-01	8.1162369251e-01
