wavelength_nm	final_network_transmittance	cst_average_transmittance
5.2033977627e+02	7.7966600657e-01	7.6488451336e-01
5.2075948571e+02	7.7421349287e-01	7.5927031198e-01
5.2117919515e+02	7.7108430862e-01	7.5338574573e-01
5.2159890459e+02	7.6224148273e-01	7.4720991877e-01
5.2201861403e+02	7.5685966015e-01	7.4072685263e-01
5.2243832347e+02	7.5025850534e-01	7.3394239499e-01
5.2285803292e+02	7.4323773384e-01	7.2684663156e-01
5.2327774236e+02	7.3498660326e-01	7.1942976525e-01
5.2369745180e+02	7.2863495350e-01	7.1168219321e-01
5.2411716124e+02	7.1962839365e-01	7.0359458710e-01
5.2453687068e+02	7.1267998219e-01	6.9515797921e-01
5.2495658012e+02	7.0515424013e-01	6.8636385607e-01
5.2537628956e+02	6.9453948736e-01	6.7719877279e-01
5.2579599900e+02	6.8839013577e-01	6.6763497136e-01
5.2621570845e+02	6.7745256424e-01	6.5769146796e-01
5.2663541789e+02	6.6855096817e-01	6.4736293287e-01
5.2705512733e+02	6.6285389662e-01	6.3664513855e-01
5.2747483677e+02	6.5087890625e-01	6.2553511410e-01
5.2789454621e+02	6.4241063595e-01	6.1403130838e-01
5.2831425565e+02	6.3457190990e-01	6.0213376034e-01
5.2873396509e+02	6.2282526493e-01	5.8984427481e-01
5.2915367453e+02	6.1276227236e-01	5.7716660159e-01
5.2957338398e+02	6.0150492191e-01	5.6410661496e-01
5.2999309342e+02	5.8810973167e-01	5.5066919371e-01
5.3041280286e+02	5.7814222574e-01	5.3684753008e-01
5.3083251230e+02	5.6646990776e-01	5.2267811284e-01
5.3125222174e+02	5.5514752865e-01	5.0817746680e-01
5.3167193118e+02	5.4038852453e-01	4.9336501736e-01
5.3209164062e+02	5.2926772833e-01	4.7826317562e-01
5.3251135006e+02	5.1346826553e-01	4.6289738927e-01
5.3293105950e+02	5.0054371357e-01	4.4729615342e-01
5.3335076895e+02	4.8536467552e-01	4.3149097601e-01
5.3377047839e+02	4.7102740407e-01	4.1551629266e-01
5.3419018783e+02	4.5582243800e-01	3.9940932703e-01
5.3460989727e+02	4.4020193815e-01	3.8320989342e-01
5.3502960671e+02	4.2594817281e-01	3.6696014005e-01
5.3544931615e+02	4.0991112590e-01	3.5070423274e-01
5.3586902559e+02	3.9605498314e-01	3.3448798097e-01
5.3628873503e+02	3.7917178869e-01	3.1836227781e-01
5.3670844448e+02	3.6293235421e-01	3.0237740866e-01
5.3712815392e+02	3.4984782338e-01	2.8657917916e-01
5.3754786336e+02	3.3255386353e-01	2.7101496113e-01
5.3796757280e+02	3.1585210562e-01	2.5573114297e-01
5.3838728224e+02	3.0151659250e-01	2.4077256396e-01
5.3880699168e+02	2.8734493256e-01	2.2618195956e-01
5.3922670112e+02	2.7237078547e-01	2.1199943193e-01
5.3964641056e+02	2.5761336088e-01	1.9826195987e-01
5.4006612001e+02	2.4322433770e-01	1.8500296173e-01
5.4048582945e+02	2.3033510149e-01	1.7225192371e-01
5.4090553889e+02	2.1595393121e-01	1.6003410408e-01
5.4132524833e+02	2.0218132436e-01	1.4837032156e-01
5.4174495777e+02	1.9026717544e-01	1.3727683314e-01
5.4216466721e+02	1.7813801765e-01	1.2676530273e-01
5.4258437665e+02	1.6530081630e-01	1.1684285817e-01
5.4300408609e+02	1.5403872728e-01	1.0751222962e-01
5.4342379553e+02	1.4312143624e-01	9.8771958545e-02
5.4384350498e+02	1.3322745264e-01	9.0616663564e-02
5.4426321442e+02	1.2400733680e-01	8.3037348529e-02
5.4468292386e+02	1.1362290382e-01	7.6021739356e-02
5.4510263330e+02	1.0519570112e-01	6.9554639304e-02
5.4552234274e+02	9.6136659384e-02	6.3618296791e-02
5.4594205218e+02	8.9296765625e-02	5.8192783974e-02
5.4636176162e+02	8.1657551229e-02	5.3256387159e-02
5.4678147106e+02	7.4906945229e-02	4.8786010873e-02
5.4720118051e+02	6.8549871445e-02	4.4757596461e-02
