wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.6745639038e+02	8.8527202606e-01	7.8956806660e-01	7.6045519114e-01
4.6787609863e+02	8.8543611765e-01	7.8862965107e-01	7.6126199961e-01
4.6829580688e+02	8.8557058573e-01	7.8768491745e-01	7.5655919313e-01
4.6871551514e+02	8.8567537069e-01	7.8744041920e-01	7.6018768549e-01
4.6913522339e+02	8.8575071096e-01	7.8641003370e-01	7.5963330269e-01
4.6955493164e+02	8.8579660654e-01	7.8657782078e-01	7.6009476185e-01
4.6997463989e+02	8.8581311703e-01	7.8546100855e-01	7.6139456034e-01
4.7039434814e+02	8.8580018282e-01	7.8453856707e-01	7.6271629333e-01
4.7081405640e+02	8.8575786352e-01	7.8442043066e-01	7.6227295399e-01
4.7123376465e+02	8.8568603992e-01	7.8412377834e-01	7.6392948627e-01
4.7165347290e+02	8.8558477163e-01	7.8313231468e-01	7.6390898228e-01
4.7207318115e+02	8.8545393944e-01	7.8261590004e-01	7.6470959187e-01
4.7249288940e+02	8.8529342413e-01	7.8222984076e-01	7.6372772455e-01
4.7291259766e+02	8.8510310650e-01	7.8176897764e-01	7.6552391052e-01
4.7333230591e+02	8.8488280773e-01	7.8091883659e-01	7.6640874147e-01
4.7375201416e+02	8.8463240862e-01	7.8107672930e-01	7.6741129160e-01
4.7417175293e+02	8.8435167074e-01	7.8069722652e-01	7.7047598362e-01
4.7459146118e+02	8.8404041529e-01	7.8040021658e-01	7.7026796341e-01
4.7501116943e+02	8.8369834423e-01	7.7878791094e-01	7.7086800337e-01
4.7543087769e+02	8.8332527876e-01	7.7902972698e-01	7.6984852552e-01
4.7585058594e+02	8.8292080164e-01	7.7906626463e-01	7.7231240273e-01
4.7627029419e+02	8.8248467445e-01	7.7992200851e-01	7.7205646038e-01
4.7669000244e+02	8.8201653957e-01	7.7853459120e-01	7.7275699377e-01
4.7710971069e+02	8.8151597977e-01	7.7892726660e-01	7.7386903763e-01
4.7752941895e+02	8.8098263741e-01	7.7816241980e-01	7.7285802364e-01
4.7794912720e+02	8.8041603565e-01	7.7899211645e-01	7.7326691151e-01
4.7836883545e+02	8.7981581688e-01	7.8004211187e-01	7.7553015947e-01
4.7878854370e+02	8.7918138504e-01	7.7925097942e-01	7.7650743723e-01
4.7920825195e+02	8.7851232290e-01	7.7833569050e-01	7.7501851320e-01
4.7962796021e+02	8.7780797482e-01	7.7713018656e-01	7.7691739798e-01
4.8004766846e+02	8.7706786394e-01	7.7892720699e-01	7.7607673407e-01
4.8046737671e+02	8.7629127502e-01	7.7780729532e-01	7.7727723122e-01
4.8088708496e+02	8.7547767162e-01	7.7760457993e-01	7.7776110172e-01
4.8130679321e+02	8.7462627888e-01	7.7778047323e-01	7.7650928497e-01
4.8172650146e+02	8.7373644114e-01	7.7773976326e-01	7.8029012680e-01
4.8214620972e+02	8.7280738354e-01	7.7840667963e-01	7.7899867296e-01
4.8256591797e+02	8.7183833122e-01	7.7805083990e-01	7.7814364433e-01
4.8298562622e+02	8.7082844973e-01	7.7808982134e-01	7.8123849630e-01
4.8340533447e+02	8.6977684498e-01	7.7798473835e-01	7.8115415573e-01
4.8382504272e+02	8.6868268251e-01	7.7828770876e-01	7.7927064896e-01
4.8424475098e+02	8.6754488945e-01	7.7858120203e-01	7.7971893549e-01
4.8466445923e+02	8.6636257172e-01	7.7804529667e-01	7.8028684855e-01
4.8508419800e+02	8.6513459682e-01	7.7812141180e-01	7.8026628494e-01
4.8550390625e+02	8.6385995150e-01	7.7824544907e-01	7.8052556515e-01
4.8592361450e+02	8.6253750324e-01	7.7800256014e-01	7.7925527096e-01
4.8634332275e+02	8.6116600037e-01	7.7765870094e-01	7.8182131052e-01
4.8676303101e+02	8.5974425077e-01	7.7768021822e-01	7.8006142378e-01
4.8718273926e+02	8.5827088356e-01	7.7751171589e-01	7.8124487400e-01
4.8760244751e+02	8.5674464703e-01	7.7737915516e-01	7.8134626150e-01
4.8802215576e+02	8.5516399145e-01	7.7710288763e-01	7.8020274639e-01
4.8844186401e+02	8.5352748632e-01	7.7603214979e-01	7.8236252069e-01
4.8886157227e+02	8.5183364153e-01	7.7538311481e-01	7.8188681602e-01
4.8928128052e+02	8.5008078814e-01	7.7492755651e-01	7.8202903271e-01
4.8970098877e+02	8.4826719761e-01	7.7374923229e-01	7.8151631355e-01
4.9012069702e+02	8.4639120102e-01	7.7291709185e-01	7.8199219704e-01
4.9054040527e+02	8.4445095062e-01	7.7146458626e-01	7.8001976013e-01
4.9096011353e+02	8.4244447947e-01	7.7097475529e-01	7.8053396940e-01
4.9137982178e+02	8.4036982059e-01	7.6869618893e-01	7.7939516306e-01
4.9179953003e+02	8.3822488785e-01	7.6633298397e-01	7.8004550934e-01
4.9221923828e+02	8.3600759506e-01	7.6496881247e-01	7.7993077040e-01
4.9263894653e+02	8.3371555805e-01	7.6385378838e-01	7.7907145023e-01
4.9305865479e+02	8.3134651184e-01	7.6177716255e-01	7.7729129791e-01
4.9347836304e+02	8.2889789343e-01	7.6056778431e-01	7.7862614393e-01
4.9389807129e+02	8.2636725903e-01	7.5775462389e-01	7.7664542198e-01
4.9431777954e+02	8.2375192642e-01	7.5614178181e-01	7.7519518137e-01
4.9473748779e+02	8.2104897499e-01	7.5298017263e-01	7.7642160654e-01
4.9515719604e+02	8.1825566292e-01	7.5019252300e-01	7.7610063553e-01
4.9557690430e+02	8.1536889076e-01	7.4778831005e-01	7.7126342058e-01
4.9599664307e+02	8.1238532066e-01	7.4442905188e-01	7.7130526304e-01
4.9641635132e+02	8.0930203199e-01	7.4079370499e-01	7.6977688074e-01
4.9683605957e+02	8.0611550808e-01	7.3746585846e-01	7.6917862892e-01
4.9725576782e+02	8.0282205343e-01	7.3285239935e-01	7.6889586449e-01
4.9767547607e+02	7.9941803217e-01	7.2828161716e-01	7.6517951488e-01
4.9809518433e+02	7.9589956999e-01	7.2484779358e-01	7.6401162148e-01
4.9851489258e+02	7.9226261377e-01	7.2215443850e-01	7.6010990143e-01
4.9893460083e+02	7.8850299120e-01	7.1914350986e-01	7.5782889128e-01
4.9935430908e+02	7.8461629152e-01	7.1520096064e-01	7.5393366814e-01
4.9977401733e+02	7.8059804440e-01	7.1076029539e-01	7.5184822083e-01
5.0019372559e+02	7.7644348145e-01	7.0622801781e-01	7.4969166517e-01
5.0061343384e+02	7.7214771509e-01	7.0131152868e-01	7.4670350552e-01
5.0103314209e+02	7.6770561934e-01	6.9600403309e-01	7.4283152819e-01
5.0145285034e+02	7.6311188936e-01	6.9131463766e-01	7.3955667019e-01
5.0187255859e+02	7.5836104155e-01	6.8603360653e-01	7.3575478792e-01
5.0229226685e+02	7.5344729424e-01	6.8055796623e-01	7.3225480318e-01
5.0271197510e+02	7.4836468697e-01	6.7442256212e-01	7.2740519047e-01
5.0313168335e+02	7.4310714006e-01	6.6833746433e-01	7.2322845459e-01
5.0355139160e+02	7.3766821623e-01	6.6095393896e-01	7.1778094769e-01
5.0397109985e+02	7.3204135895e-01	6.5456777811e-01	7.1147382259e-01
5.0439080811e+02	7.2621965408e-01	6.4717495441e-01	7.0662343502e-01
5.0481051636e+02	7.2019612789e-01	6.3945466280e-01	7.0169520378e-01
5.0523022461e+02	7.1396338940e-01	6.3105207682e-01	6.9634568691e-01
5.0564993286e+02	7.0751392841e-01	6.2311536074e-01	6.9064092636e-01
