wavelength_nm	final_result_transmittance	cst_average_transmittance
5.1824121094e+02	9.6485126019e-01	9.6378251568e-01
5.1866094971e+02	9.6485793591e-01	9.6384437911e-01
5.1908062744e+02	9.6457237005e-01	9.6390507836e-01
5.1950036621e+02	9.6470671892e-01	9.6396465033e-01
5.1992004395e+02	9.6477192640e-01	9.6402309660e-01
5.2033978271e+02	9.6472489834e-01	9.6408045304e-01
5.2075946045e+02	9.6456062794e-01	9.6413672146e-01
5.2117919922e+02	9.6465897560e-01	9.6419193676e-01
5.2159887695e+02	9.6461772919e-01	9.6424606166e-01
5.2201861572e+02	9.6454340219e-01	9.6429911514e-01
5.2243829346e+02	9.6466410160e-01	9.6435115789e-01
5.2285803223e+02	9.6458566189e-01	9.6440222291e-01
5.2327777100e+02	9.6454340219e-01	9.6445231999e-01
5.2369744873e+02	9.6439182758e-01	9.6450145959e-01
5.2411718750e+02	9.6452403069e-01	9.6454967319e-01
5.2453686523e+02	9.6472978592e-01	9.6459696400e-01
5.2495660400e+02	9.6464222670e-01	9.6464336269e-01
5.2537628174e+02	9.6462261677e-01	9.6468886002e-01
5.2579602051e+02	9.6466118097e-01	9.6473344130e-01
5.2621569824e+02	9.6474498510e-01	9.6477717084e-01
5.2663543701e+02	9.6458697319e-01	9.6482007771e-01
5.2705511475e+02	9.6476596594e-01	9.6486216568e-01
5.2747485352e+02	9.6470159292e-01	9.6490346303e-01
5.2789453125e+02	9.6503376961e-01	9.6494397371e-01
5.2831427002e+02	9.6515387297e-01	9.6498372523e-01
5.2873394775e+02	9.6486294270e-01	9.6502272163e-01
5.2915368652e+02	9.6523064375e-01	9.6506098969e-01
5.2957336426e+02	9.6492785215e-01	9.6509853350e-01
5.2999310303e+02	9.6525293589e-01	9.6513537283e-01
5.3041278076e+02	9.6548724174e-01	9.6517147792e-01
5.3083251953e+02	9.6539467573e-01	9.6520691673e-01
5.3125219727e+02	9.6576756239e-01	9.6524169330e-01
5.3167193604e+02	9.6557551622e-01	9.6527583199e-01
5.3209161377e+02	9.6554380655e-01	9.6530933680e-01
5.3251135254e+02	9.6570712328e-01	9.6534223129e-01
5.3293103027e+02	9.6553725004e-01	9.6537451934e-01
5.3335076904e+02	9.6566361189e-01	9.6540622372e-01
5.3377050781e+02	9.6550369263e-01	9.6543735266e-01
5.3419018555e+02	9.6550601721e-01	9.6546791464e-01
5.3460992432e+02	9.6589201689e-01	9.6549793103e-01
