wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
5.4216466721e+02	8.9971363544e-01	7.4028599262e-01
5.4258437665e+02	8.9834827185e-01	7.3989057541e-01
5.4300408609e+02	8.9694839716e-01	7.3829382658e-01
5.4342379553e+02	8.9551293850e-01	7.3726606369e-01
5.4384350498e+02	8.9404082298e-01	7.3602813482e-01
5.4426321442e+02	8.9253091812e-01	7.3418915272e-01
5.4468292386e+02	8.9098215103e-01	7.3393929005e-01
5.4510263330e+02	8.8939332962e-01	7.3127502203e-01
5.4552234274e+02	8.8776314259e-01	7.3054260015e-01
5.4594205218e+02	8.8609039783e-01	7.2854214907e-01
5.4636176162e+02	8.8437366486e-01	7.2705668211e-01
5.4678147106e+02	8.8261163235e-01	7.2474884987e-01
5.4720118051e+02	8.8080286980e-01	7.2230052948e-01
5.4762088995e+02	8.7894588709e-01	7.2013795376e-01
5.4804059939e+02	8.7703907490e-01	7.1955627203e-01
5.4846030883e+02	8.7508088350e-01	7.1716749668e-01
5.4888001827e+02	8.7306964397e-01	7.1536028385e-01
5.4929972771e+02	8.7100356817e-01	7.1359568834e-01
5.4971943715e+02	8.6888092756e-01	7.1177101135e-01
5.5013914659e+02	8.6669975519e-01	7.0877909660e-01
5.5055885604e+02	8.6445820332e-01	7.0651155710e-01
5.5097856548e+02	8.6215424538e-01	7.0309972763e-01
5.5139827492e+02	8.5978567600e-01	7.0000028610e-01
5.5181798436e+02	8.5735034943e-01	6.9577819109e-01
5.5223769380e+02	8.5484606028e-01	6.9417762756e-01
5.5265740324e+02	8.5227036476e-01	6.9224655628e-01
5.5307711268e+02	8.4962075949e-01	6.8811082840e-01
5.5349682212e+02	8.4689480066e-01	6.8400734663e-01
5.5391653156e+02	8.4408968687e-01	6.7872387171e-01
5.5433624101e+02	8.4120273590e-01	6.7511993647e-01
5.5475595045e+02	8.3823108673e-01	6.7220026255e-01
5.5517565989e+02	8.3517163992e-01	6.6916579008e-01
5.5559536933e+02	8.3202129602e-01	6.6388922930e-01
5.5601507877e+02	8.2877683640e-01	6.5799933672e-01
5.5643478821e+02	8.2543486357e-01	6.5305024385e-01
5.5685449765e+02	8.2199180126e-01	6.4746981859e-01
5.5727420709e+02	8.1844407320e-01	6.4458823204e-01
5.5769391654e+02	8.1478780508e-01	6.3754671812e-01
5.5811362598e+02	8.1101906300e-01	6.3167351484e-01
5.5853333542e+02	8.0713373423e-01	6.2572169304e-01
5.5895304486e+02	8.0312740803e-01	6.2031984329e-01
5.5937275430e+02	7.9899579287e-01	6.1250585318e-01
5.5979246374e+02	7.9473412037e-01	6.0505473614e-01
5.6021217318e+02	7.9033762217e-01	5.9907102585e-01
5.6063188262e+02	7.8580123186e-01	5.9214794636e-01
5.6105159207e+02	7.8111982346e-01	5.8277648687e-01
5.6147130151e+02	7.7628797293e-01	5.7610362768e-01
5.6189101095e+02	7.7129995823e-01	5.6706833839e-01
5.6231072039e+02	7.6615005732e-01	5.5954200029e-01
5.6273042983e+02	7.6083219051e-01	5.4925233126e-01
5.6315013927e+02	7.5534015894e-01	5.3896003962e-01
5.6356984871e+02	7.4966734648e-01	5.3145223856e-01
5.6398955815e+02	7.4380719662e-01	5.2087676525e-01
5.6440926759e+02	7.3775261641e-01	5.1057893038e-01
5.6482897704e+02	7.3149657249e-01	5.0028425455e-01
5.6524868648e+02	7.2503161430e-01	4.9015700817e-01
5.6566839592e+02	7.1835011244e-01	4.7830975056e-01
5.6608810536e+02	7.1144419909e-01	4.6708288789e-01
5.6650781480e+02	7.0430588722e-01	4.5690602064e-01
5.6692752424e+02	6.9692683220e-01	4.4356289506e-01
5.6734723368e+02	6.8929862976e-01	4.3252426386e-01
5.6776694312e+02	6.8141263723e-01	4.1971656680e-01
5.6818665257e+02	6.7326003313e-01	4.1090124846e-01
5.6860636201e+02	6.6483187675e-01	3.9765557647e-01
5.6902607145e+02	6.5611910820e-01	3.8534933329e-01
5.6944578089e+02	6.4711260796e-01	3.7300539017e-01
5.6986549033e+02	6.3780319691e-01	3.6166194081e-01
5.7028519977e+02	6.2818175554e-01	3.4924179316e-01
5.7070490921e+02	6.1823916435e-01	3.3754637837e-01
5.7112461865e+02	6.0796648264e-01	3.2553228736e-01
5.7154432810e+02	5.9735500813e-01	3.1395804882e-01
5.7196403754e+02	5.8639621735e-01	3.0148628354e-01
5.7238374698e+02	5.7508200407e-01	2.9149225354e-01
5.7280345642e+02	5.6340491772e-01	2.8018954396e-01
