wavelength_nm	final_result_transmittance	cst_average_transmittance
5.1992006683e+02	7.6539997972e-01	7.7241865794e-01
5.2033977627e+02	7.6516598822e-01	7.7241986990e-01
5.2075948571e+02	7.6489717413e-01	7.7242223422e-01
5.2117919515e+02	7.6500427619e-01	7.7242559195e-01
5.2159890459e+02	7.6465693800e-01	7.7242988348e-01
5.2201861403e+02	7.6521330848e-01	7.7243496974e-01
5.2243832347e+02	7.6503104166e-01	7.7244071166e-01
5.2285803292e+02	7.6589178957e-01	7.7244697014e-01
5.2327774236e+02	7.6538840391e-01	7.7245366573e-01
5.2369745180e+02	7.6610486982e-01	7.7246061961e-01
5.2411716124e+02	7.6512265391e-01	7.7246781190e-01
5.2453687068e+02	7.6554900540e-01	7.7247508367e-01
5.2495658012e+02	7.6565038581e-01	7.7248233557e-01
5.2537628956e+02	7.6542143257e-01	7.7248948812e-01
5.2579599900e+02	7.6447855297e-01	7.7249638240e-01
5.2621570845e+02	7.6530944080e-01	7.7250293891e-01
5.2663541789e+02	7.6480730676e-01	7.7250903845e-01
5.2705512733e+02	7.6488036653e-01	7.7251464128e-01
5.2747483677e+02	7.6512609931e-01	7.7251962821e-01
5.2789454621e+02	7.6500882474e-01	7.7252386014e-01
5.2831425565e+02	7.6550154191e-01	7.7252731721e-01
5.2873396509e+02	7.6560163320e-01	7.7252990007e-01
5.2915367453e+02	7.6555854205e-01	7.7253150940e-01
5.2957338398e+02	7.6512116775e-01	7.7253206571e-01
5.2999309342e+02	7.6524477914e-01	7.7253146966e-01
5.3041280286e+02	7.6611428981e-01	7.7252958218e-01
5.3083251230e+02	7.6602459109e-01	7.7252638340e-01
5.3125222174e+02	7.6493630256e-01	7.7252183358e-01
5.3167193118e+02	7.6450109986e-01	7.7251585325e-01
5.3209164062e+02	7.6484981770e-01	7.7250834306e-01
5.3251135006e+02	7.6540791659e-01	7.7249924342e-01
5.3293105950e+02	7.6412764392e-01	7.7248849471e-01
5.3335076895e+02	7.6544004650e-01	7.7247607708e-01
5.3377047839e+02	7.6536423499e-01	7.7246183157e-01
5.3419018783e+02	7.6417160205e-01	7.7244577805e-01
