case_index	case_tag	target_low_nm	target_high_nm	candidate_index	condition_order_code	valid	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
3	430_510	4.3000000000e+02	5.1000000000e+02	16	1	1	4.3052195585e+02	5.0690907415e+02	5.2195585187e-01	-3.0909258497e+00	3.0909258497e+00	3.4424461424e-02	5.0960119814e-02	5.0960119814e-02	3.0665941920e+01	3.0175100506e+01	3.0665941920e+01	8.9376863092e-01	7.2870934382e-01	7.2870934382e-01	1.6535658389e-02	1.0837847815e+00	1.2346465020e+00	1	6.8614462575e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	17	1	1	4.3052195585e+02	5.0690907415e+02	5.2195585187e-01	-3.0909258497e+00	3.0909258497e+00	4.2700596154e-02	3.5613730550e-02	4.2700596154e-02	2.4852433566e+01	3.1735465068e+01	3.1735465068e+01	7.6996015757e-01	9.0131483972e-01	7.6996015757e-01	7.0868656039e-03	8.7832584281e-01	1.2984904865e+00	1	8.5282996147e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	18	1	1	4.2968253697e+02	5.0564994583e+02	-3.1746303053e-01	-4.3500541733e+00	4.3500541733e+00	8.8411711156e-02	1.2025146931e-01	1.2025146931e-01	2.1987462907e+01	2.2056613821e+01	2.2056613821e+01	8.5864714533e-01	7.7703035623e-01	7.7703035623e-01	3.1839758158e-02	7.7707307166e-01	9.0246993857e-01	1	6.4347550387e-01	1	0
3	430_510	4.3000000000e+02	5.1000000000e+02	19	1	1	4.3010224641e+02	5.0564994583e+02	1.0224641067e-01	-4.3500541733e+00	4.3500541733e+00	8.6700879037e-02	1.0460078716e-01	1.0460078716e-01	2.2161464876e+01	2.2174534836e+01	2.2174534836e+01	8.6162755638e-01	7.9083067179e-01	7.9083067179e-01	1.7899908125e-02	7.8322258717e-01	9.0729480300e-01	1	6.3224659568e-01	1	1
4	420_520	4.2000000000e+02	5.2000000000e+02	0	0	1	4.2968253697e+02	5.2159890459e+02	9.6825369695e+00	1.5989045923e+00	9.6825369695e+00	3.7343627214e-01	4.9447783828e-01	4.9447783828e-01	1.9321476032e+01	2.1309412420e+01	2.1309412420e+01	5.7672208548e-01	4.4422128797e-01	4.4422128797e-01	1.2104156613e-01	7.2006309484e-01	8.1638544308e-01	0	2.4723891914e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	1	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	4.4108971953e-01	5.6137090921e-01	5.6137090921e-01	1.6945309192e+01	1.2844327473e+01	1.6945309192e+01	5.1766726375e-01	3.9267933369e-01	3.9267933369e-01	1.2028118968e-01	6.3150929875e-01	4.9207935763e-01	0	2.8068545461e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	2	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	3.6113148928e-01	4.1218307614e-01	4.1218307614e-01	1.6926585337e+01	1.4245276675e+01	1.6926585337e+01	5.9482455254e-01	5.3662082553e-01	5.3662082553e-01	5.1051586866e-02	6.3081150749e-01	5.4575115826e-01	0	2.0609153807e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	3	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	4.3895897269e-01	5.5787938833e-01	5.5787938833e-01	1.6962445698e+01	1.2938672093e+01	1.6962445698e+01	5.1916399598e-01	3.9540356398e-01	3.9540356398e-01	1.1892041564e-01	6.3214793345e-01	4.9569379679e-01	0	2.7893969417e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	4	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	4.0449678898e-01	4.9278905988e-01	4.9278905988e-01	1.7298982832e+01	1.3576004702e+01	1.7298982832e+01	5.5176109076e-01	4.5742741227e-01	4.5742741227e-01	8.8292270899e-02	6.4468983089e-01	5.2011066262e-01	0	2.4639452994e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	5	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	3.5091635585e-01	4.0544536710e-01	4.0544536710e-01	1.6476408827e+01	1.4317137007e+01	1.6476408827e+01	6.0408732295e-01	5.4263612628e-01	5.4263612628e-01	5.4529011250e-02	6.1403455472e-01	5.4850420127e-01	0	2.0272268355e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	6	0	1	4.2968253697e+02	5.2075948571e+02	9.6825369695e+00	7.5948570987e-01	9.6825369695e+00	3.2732310891e-01	3.1192037463e-01	3.2732310891e-01	2.1744498763e+01	1.6230385616e+01	2.1744498763e+01	6.1954858899e-01	6.2255939841e-01	6.1954858899e-01	1.5402734280e-02	8.1036309280e-01	6.2180271756e-01	1	1.6366155446e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	7	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	3.5048523545e-01	3.9633494616e-01	3.9633494616e-01	1.6792919439e+01	1.4395333824e+01	1.6792919439e+01	6.0476520658e-01	5.5145740509e-01	5.5145740509e-01	4.5849710703e-02	6.2583011373e-01	5.5150000152e-01	0	1.9816747308e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	8	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	4.1157042980e-01	5.0566202402e-01	5.0566202402e-01	1.7279426498e+01	1.3480255591e+01	1.7279426498e+01	5.4479658604e-01	4.4487845898e-01	4.4487845898e-01	9.4091594219e-02	6.4396101520e-01	5.1644241599e-01	0	2.5283101201e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	9	0	1	4.2968253697e+02	5.2033977627e+02	9.6825369695e+00	3.3977626867e-01	9.6825369695e+00	4.3325191736e-01	4.9969404936e-01	4.9969404936e-01	1.9646488117e+01	1.3465192658e+01	1.9646488117e+01	5.2141654491e-01	4.4842708111e-01	4.4842708111e-01	6.6442131996e-02	7.3217548247e-01	5.1586533958e-01	0	2.4984702468e+00	0	0
4	420_520	4.2000000000e+02	5.2000000000e+02	10	1	1	4.1667154429e+02	5.2243832347e+02	-3.3284557077e+00	2.4383234747e+00	3.3284557077e+00	5.8877289295e-02	5.3706992418e-02	5.8877289295e-02	2.4359682189e+01	3.2389701690e+01	3.2389701690e+01	8.5896897316e-01	8.2696158811e-01	8.2696158811e-01	5.1702968776e-03	9.0782443936e-01	1.2408826881e+00	1	6.8823625167e-01	1	0
