wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
5.0648936471e+02	9.5868163218e-01	9.6284133196e-01	9.6237093210e-01
5.0690907415e+02	9.5904617288e-01	9.6291464567e-01	9.6250528097e-01
5.0732878359e+02	9.5913618529e-01	9.6298617125e-01	9.6253985167e-01
5.0774849303e+02	9.5912927408e-01	9.6305578947e-01	9.6247500181e-01
5.0816820247e+02	9.5947080003e-01	9.6312379837e-01	9.6270442009e-01
5.0858791192e+02	9.5968812226e-01	9.6319013834e-01	9.6272212267e-01
5.0900762136e+02	9.5995902496e-01	9.6325492859e-01	9.6287184954e-01
5.0942733080e+02	9.6008080045e-01	9.6331793070e-01	9.6289825439e-01
5.0984704024e+02	9.6035647020e-01	9.6337938309e-01	9.6302372217e-01
5.1026674968e+02	9.6053623962e-01	9.6343904734e-01	9.6304607391e-01
5.1068645912e+02	9.6053493024e-01	9.6349722147e-01	9.6323263645e-01
5.1110616856e+02	9.6077179791e-01	9.6355372667e-01	9.6330928802e-01
5.1152587800e+02	9.6096903043e-01	9.6360874176e-01	9.6346670389e-01
5.1194558744e+02	9.6105271596e-01	9.6366220713e-01	9.6345543861e-01
5.1236529689e+02	9.6131163892e-01	9.6371406317e-01	9.6351188421e-01
5.1278500633e+02	9.6147083180e-01	9.6376419067e-01	9.6357274055e-01
5.1320471577e+02	9.6126776814e-01	9.6381282806e-01	9.6351885796e-01
5.1362442521e+02	9.6113706428e-01	9.6385985613e-01	9.6334755421e-01
5.1404413465e+02	9.6123516705e-01	9.6390539408e-01	9.6327751875e-01
5.1446384409e+02	9.6133273303e-01	9.6394938231e-01	9.6322125196e-01
5.1488355353e+02	9.6145606561e-01	9.6399182081e-01	9.6316117048e-01
5.1530326297e+02	9.6170954645e-01	9.6403264999e-01	9.6321117878e-01
5.1572297242e+02	9.6161872966e-01	9.6407192945e-01	9.6313452721e-01
5.1614268186e+02	9.6193079777e-01	9.6410971880e-01	9.6325451136e-01
5.1656239130e+02	9.6182108744e-01	9.6414607763e-01	9.6314448118e-01
5.1698210074e+02	9.6207838273e-01	9.6418094635e-01	9.6321749687e-01
5.1740181018e+02	9.6233274124e-01	9.6421432495e-01	9.6327036619e-01
5.1782151962e+02	9.6275161342e-01	9.6424633265e-01	9.6335726976e-01
5.1824122906e+02	9.6285605911e-01	9.6427696943e-01	9.6342664957e-01
5.1866093850e+02	9.6296733321e-01	9.6430605650e-01	9.6333462000e-01
5.1908064795e+02	9.6312654642e-01	9.6433377266e-01	9.6344947815e-01
5.1950035739e+02	9.6325432985e-01	9.6436023712e-01	9.6344262362e-01
5.1992006683e+02	9.6339047508e-01	9.6438533068e-01	9.6349936724e-01
5.2033977627e+02	9.6349197470e-01	9.6440929174e-01	9.6364599466e-01
5.2075948571e+02	9.6364767237e-01	9.6443194151e-01	9.6369940042e-01
5.2117919515e+02	9.6379363395e-01	9.6445345879e-01	9.6368944645e-01
5.2159890459e+02	9.6401549251e-01	9.6447378397e-01	9.6377235651e-01
5.2201861403e+02	9.6414685196e-01	9.6449297667e-01	9.6387720108e-01
5.2243832347e+02	9.6428407522e-01	9.6451109648e-01	9.6399885416e-01
