wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
3.9064955894e+02	5.9253838408e-01	8.1166917086e-01	8.0723166466e-01
3.9106926838e+02	5.8168171823e-01	8.0697470903e-01	8.0269867182e-01
3.9148897782e+02	5.7009628226e-01	8.0197149515e-01	7.9837429523e-01
3.9190868726e+02	5.5830335352e-01	7.9665613174e-01	7.9350280762e-01
3.9232839670e+02	5.4624565991e-01	7.9102420807e-01	7.8835517168e-01
3.9274810614e+02	5.3347277056e-01	7.8506773710e-01	7.8249806166e-01
3.9316781559e+02	5.2118988528e-01	7.7877235413e-01	7.7694278955e-01
3.9358752503e+02	5.0723836846e-01	7.7211755514e-01	7.7001625299e-01
3.9400723447e+02	4.9389058390e-01	7.6507455111e-01	7.6357650757e-01
3.9442694391e+02	4.8006303465e-01	7.5760793686e-01	7.5590831041e-01
3.9484665335e+02	4.6521300075e-01	7.4968248606e-01	7.4844229221e-01
3.9526636279e+02	4.5024796426e-01	7.4125641584e-01	7.4017512798e-01
3.9568607223e+02	4.3324691795e-01	7.3228400946e-01	7.3133611679e-01
3.9610578167e+02	4.1656428744e-01	7.2271603346e-01	7.2192502022e-01
3.9652549111e+02	3.9888706471e-01	7.1250027418e-01	7.1143800020e-01
3.9694520056e+02	3.8053158318e-01	7.0158076286e-01	7.0033645630e-01
3.9736491000e+02	3.6216513695e-01	6.8989896774e-01	6.8817633390e-01
3.9778461944e+02	3.4167415750e-01	6.7739289999e-01	6.7479753494e-01
3.9820432888e+02	3.2195816898e-01	6.6399794817e-01	6.6111570597e-01
3.9862403832e+02	3.0138860397e-01	6.4964616299e-01	6.4624214172e-01
3.9904374776e+02	2.8072514736e-01	6.3426566124e-01	6.2970012426e-01
3.9946345720e+02	2.5871450687e-01	6.1777675152e-01	6.1199623346e-01
3.9988316664e+02	2.3716377581e-01	6.0006880760e-01	5.9377157688e-01
4.0030287609e+02	2.1585017531e-01	5.8098763227e-01	5.7397806644e-01
4.0072258553e+02	1.9459563357e-01	5.6032466888e-01	5.5361062288e-01
4.0114229497e+02	1.7407518471e-01	5.3771191835e-01	5.3049910069e-01
4.0156200441e+02	1.5518893417e-01	5.1271820068e-01	5.0645005703e-01
4.0198171385e+02	1.3663915025e-01	4.8527488112e-01	4.8136979342e-01
4.0240142329e+02	1.1975000514e-01	4.5612248778e-01	4.5487537980e-01
4.0282113273e+02	1.0395083488e-01	4.2633494735e-01	4.2746129632e-01
4.0324084217e+02	8.9890744484e-02	3.9642670751e-01	3.9986583591e-01
4.0366055162e+02	7.6849055980e-02	3.6637392640e-01	3.6979663372e-01
4.0408026106e+02	6.5237653591e-02	3.3614358306e-01	3.4015282989e-01
4.0449997050e+02	5.5275621311e-02	3.0589196086e-01	3.1061261892e-01
4.0491967994e+02	4.5459682036e-02	2.7593630552e-01	2.8122916818e-01
4.0533938938e+02	3.8718286805e-02	2.4669770896e-01	2.5154179335e-01
4.0575909882e+02	3.2248985988e-02	2.1864879131e-01	2.2365203500e-01
4.0617880826e+02	2.6193941627e-02	1.9226966798e-01	1.9638815522e-01
4.0659851770e+02	2.1769310250e-02	1.6812390089e-01	1.7367824912e-01
4.0701822714e+02	1.7553435735e-02	1.4649485052e-01	1.5112899244e-01
4.0743793659e+02	1.4394784266e-02	1.2763975561e-01	1.3194902241e-01
4.0785764603e+02	1.1962797765e-02	1.1170407385e-01	1.1535847187e-01
4.0827735547e+02	1.0042830467e-02	9.8725199699e-02	1.0089518130e-01
4.0869706491e+02	8.6786620512e-03	8.8674843311e-02	9.0270362794e-02
4.0911677435e+02	7.6619269933e-03	8.1529073417e-02	8.1893719733e-02
4.0953648379e+02	6.9402117438e-03	7.7001474798e-02	7.6308794320e-02
4.0995619323e+02	6.7565600378e-03	7.4948608875e-02	7.2788558900e-02
4.1037590267e+02	6.0495708628e-03	7.5263291597e-02	7.1237862110e-02
4.1079561212e+02	6.4452418048e-03	7.7893063426e-02	7.4725873768e-02
4.1121532156e+02	6.8911407633e-03	8.2995302975e-02	7.6668106019e-02
4.1163503100e+02	7.6562653582e-03	9.0527892113e-02	8.4272570908e-02
4.1205474044e+02	8.3686041060e-03	1.0060787201e-01	9.1766357422e-02
