wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
5.1824122906e+02	5.7404100895e-01	4.1401393493e-01
5.1866093850e+02	5.8976578712e-01	4.3352647620e-01
5.1908064795e+02	6.0393935442e-01	4.5235732174e-01
5.1950035739e+02	6.1680281162e-01	4.7051169080e-01
5.1992006683e+02	6.3027071953e-01	4.8800584203e-01
5.2033977627e+02	6.4118266106e-01	5.0486376497e-01
5.2075948571e+02	6.5281391144e-01	5.2111435179e-01
5.2117919515e+02	6.6337066889e-01	5.3678905455e-01
5.2159890459e+02	6.7439037561e-01	5.5190037289e-01
5.2201861403e+02	6.8603938818e-01	5.6647463358e-01
5.2243832347e+02	6.9609850645e-01	5.8057088263e-01
5.2285803292e+02	7.0575594902e-01	5.9421505047e-01
5.2327774236e+02	7.1497988701e-01	6.0742977435e-01
5.2369745180e+02	7.2367304564e-01	6.2023414822e-01
5.2411716124e+02	7.3160284758e-01	6.3264363848e-01
5.2453687068e+02	7.3934441805e-01	6.4467014291e-01
5.2495658012e+02	7.4699836969e-01	6.5632216823e-01
5.2537628956e+02	7.5405794382e-01	6.6759972094e-01
5.2579599900e+02	7.6095777750e-01	6.7848593474e-01
5.2621570845e+02	7.6761114597e-01	6.8900614059e-01
5.2663541789e+02	7.7409267426e-01	6.9915853568e-01
5.2705512733e+02	7.8065121174e-01	7.0894013243e-01
5.2747483677e+02	7.8720664978e-01	7.1834728879e-01
5.2789454621e+02	7.9341506958e-01	7.2737623542e-01
5.2831425565e+02	7.9891198874e-01	7.3602358079e-01
5.2873396509e+02	8.0366277695e-01	7.4428677760e-01
5.2915367453e+02	8.0786597729e-01	7.5216453476e-01
5.2957338398e+02	8.1194233894e-01	7.5965716203e-01
5.2999309342e+02	8.1593865156e-01	7.6676339731e-01
5.3041280286e+02	8.1965523958e-01	7.7346871379e-01
5.3083251230e+02	8.2334333658e-01	7.7980319002e-01
5.3125222174e+02	8.2698237896e-01	7.8577569962e-01
5.3167193118e+02	8.3052712679e-01	7.9139715594e-01
5.3209164062e+02	8.3399856091e-01	7.9668035553e-01
5.3251135006e+02	8.3741188049e-01	8.0163976661e-01
5.3293105950e+02	8.4071362019e-01	8.0629127589e-01
